Object,Arc_length,reason
2017 FB9, 13, mislinkage
2014 FR97, 34, mislinkage
2014 EY162, 23, mislinkage see mag residual
2014 ER176, 25, mislinkage see mag residual
2009 US21, 24, mislinkage
2002 JG148, 20, mislinkage
2016 CV88, 51, mislinkage
2023 UG88, 29, mislinkage
2022 TD25, 28, mislinkage per R. Weryk (submitted to MPC)
2014 QJ274, 95, mislinkage
2009 VW92, 22, mislinkage
2025 XL21, 35, mislinkage (submitted to MPC)
2014 VY35, 51, mislinkage
2015 MR207, 32, mislinkage
2022 PH33, 56, mislinkage
2013 HH96, 9, mislinkage
2023 WA39, 20, mislinkage
2014 EL209, 5, suspect photometry issue W84
2014 EA155, 3, suspect photometry issue W84
2014 EJ202, 3, suspect photometry issue W84
2014 EM167, 3, suspect photometry issue W84
2014 EW127, 2, suspect photometry issue W84
2014 EC83, 3, suspect photometry issue W84
2014 EU140, 2, suspect photometry issue W84
2014 EE128, 2, suspect photometry issue W84
2018 XL16, 34,  mislinkage
2021 VX54, 11, mislinkage
2017 VJ70, 14, mislinkage
2014 WL185, 31, recovered by Sam Deen but cannot send in because of SARC
2014 ET220, 2, suspect photometry issue W84
2014 EP202, 5, suspect photometry issue W84
2023 UT81, 24, likely mislinkage
2010 KU21, 4, no photometry
2025 WW35, 30, ITF linkage pending
2025 PC98, 11, DESDES pending
2025 PV20, 14, DESDES pending
