Object,reason
2024 SV79, pending numbered identification
2024 SW79, pending numbered identification
2024 SX79, pending numbered identification
2024 SY79, pending numbered identification
2020 PB54, Sam Deen has arc extension but is waiting on SARC approval
2002 PA52, found on two other opps but canot submit singletons
1988 RH9, likely does not exist after hearing Peter Thomas's (Oakleigh Australia) research into the plates
2014 EQ71, multiopp mislinkage
2021 UA56, recovered by Sam Deen but waiting on SARC approval
2019 GT10, recovered by Sam Deen but waiting on SARC approval
2024 RY100, recovered by Sam Deen but waiting on SARC approval
2015 KD329, multiopp mislinkage
2003 GO19, multiopp mislinkage
2025 NA173, actually 261P
