Num_obs,rms,Arc_length,likely_or_possible_mislinkage,Principal_desig,assumed good instead of human labeled?
11,0.83,29,0,2022 OL72,
12,0.81,28,1,2016 CH425,
6,0.84,28,1,2000 QP240,
9,0.78,28,0,2023 FQ41,
8,0.48,28,1,2015 KD163,
13,0.95,46,0,2024 TE63,
12,0.85,21,1,2025 OJ42,
12,0.8,21,0,2022 TZ26,
12,0.84,25,1,2017 FV249,
11,0.78,24,1,2008 RX187,
11,0.83,22,1,2013 SL65,
7,0.46,28,1,2005 GE192,
8,0.8,26,0,2016 CP133,
12,0.96,43,0,2024 RA164,
11,0.39,29,1,2014 WQ236,
10,0.45,28,1,2006 BZ278,
12,0.91,28,1,2013 RF190,
9,0.81,25,1,2010 RQ228,
13,0.84,44,0,2024 OB7,
12,0.93,28,0,2021 UB97,
11,0.94,28,1,2022 HK25,
12,0.93,29,0,2022 MC14,
11,0.93,29,1,2022 TA54,
19,0.91,36,0,2025 HE35,
23,0.46,34,0,2023 QL38,
33,0.9,45,0,2022 SZ176,
14,0.47,27,0,2024 BR27,
10,0.26,10,0,2014 EJ14,
24,0.39,1,0,2014 WS7,
19,0.66,42,0,2022 SP188,
18,0.1,27,0,2015 PC278,
10,0.67,7,0,2020 BP183,
26,0.93,45,0,2023 CP3,
15,0.21,34,0,2014 KW86,
15,0.89,11,0,2022 UB47,
51,0.75,22,0,2022 XN,
15,0.61,12,0,2025 SP51,
11,0.96,12,0,2019 UW206,
26,0.41,6,0,2020 UD1,
41,0.44,4,0,2019 QS99,
47,0.35,7,0,2016 DN2,
95,0.11,5,0,2019 QO60,
14,1.06,14,0,2023 EG13,
15,0.9,9,0,2024 WV5,
50,0.16,2,0,2016 UZ225,
25,0.28,33,0,2015 HJ255,
12,1.01,14,0,2022 QF160,
29,0.76,3,0,2014 UR34,
30,0.13,4,0,2015 BO627,
20,0.55,79,0,2023 QM95,
19,0.34,97,0,2015 OP189,
24,0.19,2,0,2016 FD,
11,0.41,15,0,2018 BZ106,
52,0.84,39,0,2025 FJ6,
21,0.12,4,0,2015 KZ250,
62,0.34,10,0,2011 YQ1,
25,0.35,31,0,2023 QW22,
54,0.12,14,0,2023 MD4,
90,0.65,5,0,2021 ED,
13,0.22,15,0,2020 KL4,
6,0.05,5,0,2005 VP125,
40,0.24,3,0,2016 UR171,
56,0.78,8,0,2025 HE3,
12,0.15,49,0,2015 UB105,
10,1.05,31,0,2022 QX243,
8,0.52,11,0,2017 RG160,
20,0.69,39,0,2025 HB28,
42,0.95,91,0,2021 PT117,
31,0.27,36,0,2020 RU35,
23,0.31,31,0,2016 UZ47,
27,1.07,45,0,2021 TC69,
74,0.35,105,0,2017 QK35,
30,0.38,19,0,2022 QD8,
26,0.93,70,0,2024 JE52,
26,0.95,53,0,2024 TE47,
18,1.11,30,0,2022 SU146,
27,0.33,11,0,2023 XP3,
8,0.08,5,0,2025 HQ21,
8,0.1,3,0,2020 BT6,
9,0.1,5,0,2017 BP239,
30,0.75,4,0,2024 UB5,
