,q,q,q,q,q,q,a,a,a,a,a,a,e,e,e,e,e,e,i,i,i,i,i,i,TJ,TJ,TJ,TJ,TJ,TJ,H,H,H,H,H,H,Num_opps,Num_opps,Num_opps,Num_opps,Num_opps,Num_opps,exp_Num_opps,exp_Num_opps,exp_Num_opps,exp_Num_opps,exp_Num_opps,exp_Num_opps,prob,prob,prob,prob,prob,prob,DeltaQ,DeltaQ,DeltaQ,DeltaQ,DeltaQ,DeltaQ,S_EV,S_EV,S_EV,S_EV,S_EV,S_EV,DeltaH,DeltaH,DeltaH,DeltaH,DeltaH,DeltaH
,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count
designation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362P/(457175) 2008 GO98,2.8643008,0.0,2.8643008,2.8643008,2.8643008,3,3.9711726000000005,0.0,3.9711726,3.9711726,3.9711726,3,0.2787267,0.0,0.2787267,0.2787267,0.2787267,3,15.55983,0.0,15.55983,15.55983,15.55983,3,2.9267297442230564,0.0,2.9267297442230564,2.9267297442230564,2.9267297442230564,3,12.910000000000002,0.0,12.91,12.91,12.91,3,7.0,0.0,7.0,7.0,7.0,3,24.106810251871746,0.020620478859374906,24.102609634399418,24.088613510131836,24.129207611083984,3,0.9999904967123744,6.3369273080156055e-06,0.9999926220790282,0.9999833703041076,0.9999954977539876,3,11.024929682413736,1.7513208082780845,10.015138626098633,10.012470245361328,13.04718017578125,3,2.5872461464321225e-05,4.011379281025678e-07,2.5952441710786245e-05,2.5437358689438625e-05,2.622758399273881e-05,3,3.2399999999999594,0.0,3.2399999999999594,3.2399999999999594,3.2399999999999594,3
2010 RH69,4.2760483,0.0,4.2760483,4.2760483,4.2760483,3,4.5323956,0.0,4.5323956,4.5323956,4.5323956,3,0.05655889999999989,0.0,0.0565588999999999,0.0565588999999999,0.0565588999999999,3,11.54822,0.0,11.54822,11.54822,11.54822,3,2.973910329701669,0.0,2.9739103297016696,2.9739103297016696,2.9739103297016696,3,13.949999999999998,0.0,13.95,13.95,13.95,3,3.0,0.0,3.0,3.0,3.0,3,18.385637919108074,0.011599203878631559,18.379613876342773,18.3782901763916,18.399009704589844,3,0.9999951819757237,1.4717108932227197e-06,0.999995121354189,0.9999937415122986,0.9999966830606836,3,11.695061365763346,0.5420221805549275,12.001080513000488,11.069238662719728,12.014864921569824,3,4.772423907438767e-06,4.9207412112899874e-08,4.797954052910576e-06,4.715698305122454e-06,4.803619364283272e-06,3,2.3999999999999595,0.0,2.3999999999999595,2.3999999999999595,2.3999999999999595,3
282P/(323137) 2003 BM80,3.4387176,0.0,3.4387176,3.4387176,3.4387176,3,4.2343717,0.0,4.2343717,4.2343717,4.2343717,3,0.1879036999999999,0.0,0.1879036999999999,0.1879036999999999,0.1879036999999999,3,5.81319,0.0,5.81319,5.81319,5.81319,3,2.9917556971131845,0.0,2.9917556971131845,2.9917556971131845,2.9917556971131845,3,13.62,0.0,13.62,13.62,13.62,3,7.0,0.0,7.0,7.0,7.0,3,22.212740580240887,0.10120340014168142,22.230993270874023,22.10365295410156,22.30357551574707,3,0.9999952218226674,3.0841858067593274e-06,0.9999963641166688,0.9999917294472604,0.9999975719040728,3,10.635485967000326,1.0767848248521439,10.015138626098633,10.012470245361328,11.878849029541016,3,0.00010599471006766266,7.93263424244084e-06,0.000104396986841,9.898254445068798e-05,0.0001146045989113,3,2.1299999999999617,0.0,2.1299999999999617,2.1299999999999617,2.1299999999999617,3
2017 QN84,2.4748806,0.0,2.4748806,2.4748806,2.4748806,3,3.7690871,0.0,3.7690871,3.7690871,3.7690871,3,0.3433739999999999,0.0,0.3433739999999999,0.3433739999999999,0.3433739999999999,3,12.07147,0.0,12.07147,12.07147,12.07147,3,2.943831231299756,0.0,2.9438312312997565,2.9438312312997565,2.9438312312997565,3,14.97,0.0,14.97,14.97,14.97,3,4.0,0.0,4.0,4.0,4.0,3,12.843412081400553,0.04360235021277513,12.850725173950195,12.796615600585938,12.882895469665527,3,0.9999969466490901,1.1565059119389454e-06,0.9999973229347584,0.9999956488609314,0.9999978681515804,3,4.808116277058919,0.43329027224811517,5.043266296386719,4.3080902099609375,5.072992324829102,3,0.0025867235055772667,8.711143308264556e-05,0.0025712696207935,0.0025083732450782,0.0026805276508601,3,2.046666666666624,0.028867513459481634,2.0299999999999567,2.0299999999999567,2.0799999999999574,3
2008 VK110,4.4365827,0.0,4.4365827,4.4365827,4.4365827,3,7.167172099999999,0.0,7.1671721,7.1671721,7.1671721,3,0.3809856,0.0,0.3809856,0.3809856,0.3809856,3,7.38588,0.0,7.38588,7.38588,7.38588,3,2.878252349718528,0.0,2.878252349718528,2.878252349718528,2.878252349718528,3,13.75,0.0,13.75,13.75,13.75,3,3.0,0.0,3.0,3.0,3.0,3,6.0371354420979815,0.12938361303920695,6.026371955871582,5.9134697914123535,6.17156457901001,3,0.9713582970907718,0.008666280334319251,0.9733435128649488,0.961871655793078,0.9788597226142884,3,-0.7422743638356527,0.5032998701782059,-0.9881834983825684,-1.075343132019043,-0.1632964611053466,3,0.12183539688876527,0.010616076166252965,0.122448359855183,0.1109261195257408,0.132131711285372,3,0.7499999999999662,0.0,0.7499999999999662,0.7499999999999662,0.7499999999999662,3
2019 OE31,3.942522,0.0,3.942522,3.942522,3.942522,3,4.3813219,0.0,4.3813219,4.3813219,4.3813219,3,0.1001523999999999,0.0,0.1001523999999999,0.1001523999999999,0.1001523999999999,3,5.22115,0.0,5.22115,5.22115,5.22115,3,3.006030982454258,0.0,3.0060309824542584,3.0060309824542584,3.0060309824542584,3,14.64,0.0,14.64,14.64,14.64,3,1.0,0.0,1.0,1.0,1.0,3,16.77092742919922,0.018192590017939183,16.77393341064453,16.751419067382812,16.787429809570312,3,0.9999967099668935,5.614993346795267e-07,0.9999969659359018,0.9999960660934448,0.9999970978713336,3,11.865246136983236,0.09303116467118848,11.84067440032959,11.786967277526855,11.968096733093262,3,1.415211094605263e-07,2.580167989970776e-09,1.410807506793699e-07,1.3918946010207688e-07,1.4429311760013206e-07,3,3.1766666666666197,0.16072751268321617,3.1099999999999532,3.0599999999999525,3.3599999999999532,3
P/2022 BV9 (Lemmon),3.347685,0.0,3.347685,3.347685,3.347685,3,4.366555144685097,0.0,4.366555144685097,4.366555144685097,4.366555144685097,3,0.233335,0.0,0.233335,0.233335,0.233335,3,11.9223,0.0,11.9223,11.9223,11.9223,3,2.934748518916186,0.0,2.9347485189161864,2.9347485189161864,2.9347485189161864,3,13.79,0.0,13.79,13.79,13.79,3,1.0,0.0,1.0,1.0,1.0,3,23.938058853149414,0.030530766558001986,23.93963050842285,23.90677261352539,23.9677734375,3,0.9999830403847424,8.390539166199012e-06,0.9999806880950928,0.9999760770457043,0.99999235601343,3,17.087263107299805,1.8592854376801038,16.015138626098633,16.012470245361328,19.234180450439453,3,1.0921006084454967e-10,3.3377942881533177e-12,1.0900465715463262e-10,1.0597971187934115e-10,1.1264581349967525e-10,3,4.409999999999954,0.0,4.409999999999954,4.409999999999954,4.409999999999954,3
2018 BJ11,3.2528731,0.0,3.2528731,3.2528731,3.2528731,3,4.2005939,0.0,4.2005939,4.2005939,4.2005939,3,0.2256158999999999,0.0,0.2256158999999999,0.2256158999999999,0.2256158999999999,3,3.43068,0.0,3.43068,3.43068,3.43068,3,2.986205471371399,0.0,2.986205471371399,2.986205471371399,2.986205471371399,3,15.550000000000002,0.0,15.55,15.55,15.55,3,1.0,0.0,1.0,1.0,1.0,3,10.35440731048584,0.007727109469944931,10.352154731750488,10.34805679321289,10.36301040649414,3,0.9999898885163473,8.45610384019147e-06,0.9999947547912598,0.9999801242658436,0.9999947864919382,3,5.01408847173055,0.019199144916672756,5.0150580406188965,4.994422912597656,5.032784461975098,3,8.658470034754693e-05,6.680094334866831e-07,8.677823368428197e-05,8.584129217192337e-05,8.713457518643542e-05,3,3.2999999999999496,0.13228756555322935,3.2499999999999503,3.1999999999999496,3.4499999999999496,3
