designation,group,confirmed,marker,note,nopp_dagger,h_marker
2010 RH69,cometary,1,$^{\ddag}$,\notecell{Comet independently re-flagged by this work},0
362P/(457175) 2008 GO98,cometary,1,,\notecell{\citet{2017CBET.4411....1L}},0
282P/(323137) 2003 BM80,cometary,1,,"\notecell{\citet{2022ApJ...937L...2C,chandlerActiveAsteroidsCitizen2024}}",0
2017 QN84,cometary,1,,"\notecell{\citet{chandlerActiveAsteroidsCitizen2024,2025epsc.conf.1661F}}",0
2008 VK110,cometary,0,$^{\Vert}$,"\notecell{Identified by \activityscope{}; Possible morphologic confirmation; Brightness varies across oppositions}",0,$^{\S}$
2001 BV70,cometary,0,,\notecell{High-confidence candidate; archival confirmation unavailable},0
P/2025 UX109 (Ye),cometary,1,,"\notecell{Independent identification by \activityscope\tabnote{P. VanWylen, \url{https://groups.io/g/comets-ml/message/34359}.}}",0
2019 OE31,cometary,1,,\notecell{\citet{oldroydCometaryActivityDiscovered2023}},0
2018 BJ11,cometary,1,,"\notecell{Independent identification; Activity visible in archival imagery\tabnote{This object was on the Possible Comet Confirmation Page prior to our reconfirmation and discovery of archival imagery.}}",0
P/2022 BV9 (Lemmon),cometary,1,,"\notecell{Identified by \activityscope\tabnote{P. VanWylen, \url{https://groups.io/g/comets-ml/message/31369}.}}",1
489P/Denning,cometary,1,,"\notecell{Recovered after 130 yr; initial identification by \activityscope\tabnote{P. VanWylen, \url{https://groups.io/g/comets-ml/message/32365}.}}",1
2024 XE22,cometary,1,,\notecell{Identified by \activityscope{}; activity observed in 2025 November},1
2009 DP2,cometary,1,,\notecell{Identified by \activityscope{}; recovered active in 2026},1,$^{\S}$
P/2023 JN16 (Lemmon),asteroidal,1,,"\notecell{Initial identification by \activityscope\tabnote{P. VanWylen, \url{https://groups.io/g/mpml/message/38758}.}; \citet{2024MPEC....Q....4.,2024CBET.5430....1A,2024DPS....5620804T,2025epsc.conf..471A,2025AcA....75..343B}}",1
2025 HV38,asteroidal,0,,\notecell{Exceptionally strong candidate; not yet morphologically confirmed; not observed in 2026 despite $V \approx 18.3$},0
2015 BC566,asteroidal,1,,\notecell{Identified by \activityscope; Active in DECam and MegaCam},0
2007 VB146,asteroidal,0,,\notecell{Negative archival recovery; very high confidence candidate},0
2025 VZ8,asteroidal,1,,"\notecell{Initial identification by \activityscope\tabnote{P. VanWylen, \url{https://groups.io/g/mpml/message/41136}.}; \citet{2026RNAAS..10....1H}}",0
2008 BJ22,asteroidal,1,,"\notecell{Initial identification by \activityscope\tabnote{S. Deen, \url{https://groups.io/g/comets-ml/message/31013}.}; \citet{2023RNAAS...7...48D}}",0
2021 AY8,asteroidal,1,,\notecell{Identified by \activityscope; Confirmed active in DECam and Pan-STARRS archives},1
2009 FP8,asteroidal,0,,"\notecell{Negative archival recovery; very high confidence candidate}",0
P/2017 FL36 (PANSTARRS),asteroidal,1,,"\notecell{Initial identification by \activityscope\tabnote{P. VanWylen, \url{https://groups.io/g/comets-ml/message/33447}.}; \citet{2025CBET.5551....1L,2025MPEC....H...86C}}",0
2010 TR241,asteroidal,0,,"\notecell{Negative archival recovery; high confidence candidate}",0
2002 CW116,asteroidal,1,,"\notecell{Identified by \activityscope; confirmed active in SDSS archives\tabnote{P. VanWylen, S. Deen \url{https://groups.io/g/mpml/topic/104468465}}}",0
